variable;category
climatology_A_0_50;Chemistry
climatology_A_200_300;Latitude
climatology_A_ADG_regridded;Optics
climatology_A_APH_regridded;Optics
climatology_A_BBP_regridded;Optics
climatology_A_CHLA_regridded;Productivity
climatology_A_K490_regridded;Optics
climatology_A_PAR_regridded;Latitude
climatology_co2_SODA;Carbonate
climatology_co3_SODA;Carbonate
climatology_DIATO_1998_2020_CMEMS;Productivity
climatology_dic_SODA;Carbonate
climatology_DINO_1998_2020_CMEMS;Productivity
climatology_eke_aviso;Courantology
climatology_fsle_aviso_2001_2020;Courantology
climatology_GREEN_1998_2020_CMEMS;Productivity
climatology_HAPTO_1998_2020_CMEMS;Productivity
climatology_hco3_SODA;Carbonate
climatology_i_0_50;Chemistry
climatology_i_200_300;Chemistry
climatology_ice_SODA;Ice
climatology_M_0_0;Latitude
climatology_MICRO_1998_2020_CMEMS;Productivity
climatology_n_0_50;Chemistry
climatology_n_200_300;Chemistry
climatology_NANO_1998_2020_CMEMS;Productivity
climatology_o_0_50;Latitude
climatology_o_200_300;Latitude
climatology_omega_ar_SODA;Carbonate
climatology_omega_ca_SODA;Carbonate
climatology_p_0_50;Chemistry
climatology_p_200_300;Chemistry
climatology_P_SST_regridded;Latitude
climatology_ph_total_SODA;Latitude
climatology_PICO_1998_2020_CMEMS;Productivity
climatology_PROCHLO_1998_2020_CMEMS;Productivity
climatology_PROKAR_1998_2020_CMEMS;Productivity
climatology_revelle_factor_SODA;Carbonate
climatology_s_0_50;Carbonate
climatology_s_200_300;Carbonate
climatology_S_PP_regridded;Productivity
climatology_sfco2_SODA;Carbonate
climatology_spco2_SODA;Carbonate
climatology_t_0_50;Latitude
climatology_t_200_300;Latitude
climatology_talk_SODA;Carbonate
climatology_TOT_POC_CMEMS;Productivity
woa18_all_A_m;Chemistry
woa18_all_i_m;Chemistry
woa18_all_n_m;Chemistry
woa18_all_O_m;Latitude
woa18_all_p_m;Chemistry
woa18_decav_s_m;Carbonate
woa18_decav_t_m;Latitude
woa18_decav81B0_M_m;Latitude
woa18_n__m;Chemistry
